cleaned_up_drug,class_drug_info,class_umls
Arimidex,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Enzyme Inhibitors|Aromatase Inhibitors|Antineoplastic Agents|Estrogen Antagonists|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors",
Faslodex,"Antineoplastic Agents|Estrogen Antagonists|Antineoplastic Agents, Hormonal|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Estrogen Receptor Antagonists",
BIO-11006,,
Veru-944,,
Bemcentinib,,
Belotecan,Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase I Inhibitors|Topoisomerase Inhibitors,
TLD-1433,,
Photodynamic,,
Epirubicine,"Drug / Therapeutic Agent|Mutation Data|Antibiotics, Antineoplastic|Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
Somatostatin,,
Somatostatin,"Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists",
Fluoropyrimidine,,
5-FU/LV,,
Aromasin®,,
POMx,,
Anastrazole,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Enzyme Inhibitors|Aromatase Inhibitors|Antineoplastic Agents|Estrogen Antagonists|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Steroid Synthesis Inhibitors",
INSTILADRIN,,
Fosbretabulin,"Antineoplastic Agents|Antineoplastic Agents, Phytogenic",
Hycamtin,,
Hycamtin,Antineoplastic Agents|Enzyme Inhibitors|Antineoplastic|Topoisomerase I Inhibitors|Topoisomerase Inhibitors,
Relugolix,,
BIBH,,
Lonafarnib,Enzyme Inhibitors,
DOCETAXEL,Antineoplastic Agents|Drug / Therapeutic Agent|Antimitotic Agents|Mitosis Modulators|Tubulin Modulators,
DOCETAXEL,Antineoplastic Agents|Tubulin Modulators|Mitosis Modulators|Antimitotic Agents,
Oxaliplatin+Capecitabine+Pembrolizumab,,
soblidotin,Antineoplastic Agents,
masitinib,,
CI-1033,"Anesthetics|Anesthetics, Local|Antineoplastic Agents|Cardiotonic Agents|Cardiovascular Agents|Central Nervous System Agents|Central Nervous System Depressants|Peripheral Nervous System Agents|Protective Agents|Sensory System Agents",
ARD6562,,
PRAME,,
GSK2302032A,,
rucaparib,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
ELIGARD,"Antineoplastic Agents, Hormonal|Fertility Agents, Female|Hormone|Human Data|Reproductive Effect|Antineoplastic Agents|Fertility Agents|Reproductive Control Agents",
ELIGARD,Reproductive Effect,
Ozarelix,,
CABAZITAXEL,,
alvimopan,,
alvimopan,Drug / Therapeutic Agent|Opioid Antagonist|Peripherally Restricted mu Opioid Receptor Antagonist|Gastrointestinal Agents,
torisel,,
Catumaxomab,Gastrointestinal Agents,
onartuzumab,,
mFolfox,,
Cyproterone,"Androgen Antagonists|Hormone|Reproductive Effect|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists",
Norzyme,Drug / Therapeutic Agent|Gastrointestinal Agents|TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
eloxatin,Drug / Therapeutic Agent|Antineoplastic|Antineoplastic Agents,
lanreotide,Antineoplastic Agents,
regimen=oxaliplatin,,
Telisotuzumab,,
VRP-HER2,,
caelyx,"Antineoplastic Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antibiotics, Antineoplastic|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
caelyx,Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data,
Panzem®,,
Matuzumab,,
Kevetrin,,
Dupilumab,Anti-Asthmatic Agents|Respiratory System Agents,
Sequential,,
Icotinib,,
Tilsotolimod,,
BIBF1120,Antineoplastic Agents|Enzyme Inhibitors,
EndoTAG®-1,,
erbitux,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
TNFerade,,
TORISEL,,
ILX651,,
BGB-A317and,,
Robatumumab,,
CAPEOX/XELOX,,
Panzem,Antimitotic Agents|Mitosis Modulators|Tubulin Modulators|Antineoplastic Agents,
2-methoxyestradiol,Antimitotic Agents|Mitosis Modulators|Tubulin Modulators|Antineoplastic Agents,
Edotecarin,Topoisomerase Inhibitors|Antineoplastic,
Gallium-68,,
THP-PSMA,,
Chemo,,
RX-0201,,
Enoxaparin,Anticoagulants|Fibrinolytic Agents|Cardiovascular Agents|Fibrin Modulating Agents|Hematologic Agents,
avastin,"Antineoplastic|Monoclonal Antibody|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Growth Inhibitors|Growth Substances|Antineoplastic Agents, Immunological",
SR31747A,Enzyme Inhibitors|Immunologic Factors|Immunosuppressive Agents,
SR31747A,,
Prednisone*,,
Anti-NGF,,
Physician,,
CD3-MUC1,,
Infusional,,
Savolitinib,,
rHuEPO,Hematinics|Hematologic Agents,
fluoropyrimidine,,
Atrasentan,Endothelin-Receptor Antagonist|Endothelin Receptor Antagonists|Antineoplastic Agents|Endothelin A Receptor Antagonists,
TNFerade,,
CMAB009,,
Irinotecan-only,,
sequential-CMAB009,,
foretinib,Antineoplastic Agents,
PELITREXOL/AG-2037,,
Prednisone/,,
GLIADEL,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Alkylating Agents|Antineoplastic Agents|Noxae",
LY293111,,
Diethylstilbestrol,"Agricultural Chemical|Carcinogens|Drug / Therapeutic Agent|Estrogens, Non-Steroidal|Hormone|Human Data|Mutation Data|Natural Product|Reproductive Effect|Tumor Data|Estrogens|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Noxae|TSCA Flag S (Substance is Identified in a Final Significant New Use Rule)",
TroVax,,
Trilostane,"Abortifacient Agents, Steroidal|Antineoplastic Agents|Enzyme Inhibitors|Hormone|Human Data|Reproductive Effect|Abortifacient Agents|Reproductive Control Agents",
Polysaccharides,,
PROSTVAC®-VF/TRICOM,,
DEBIRI,,
systemic,,
ZK219477,Antineoplastic Agents,
SorCape,,
Alpha-interferon,,
JS001,,
Toremifine,,
PHA-739358,,
ART-123,,
DCVAC/OvCa,,
infusional,,
apricoxib/erlotinib,,
BLS-ILB-E710c,,
ibandronate,Bone Density Conservation Agents,
Bondronat,Bone Density Conservation Agents,
Bondronat,,
anti-virus,,
imetelstat,Enzyme Inhibitors,
Endostatin,Antiangiogenic Drug|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Growth Inhibitors|Growth Substances,
paclitaxel-carboplatin,,
AG013736,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
MAC-321,,
KW-2246,,
fentanyl,"Adjuvants, Anesthesia|Analgesics, Opioid|Anesthetics, Intravenous|Drug / Therapeutic Agent|Human Data|Narcotics|Analgesics|Anesthetics|Anesthetics, General|Central Nervous System Agents|Central Nervous System Depressants|Peripheral Nervous System Agents|Sensory System Agents",
l-Leucovorin,Growth Substances|Micronutrients|Vitamin B Complex|Vitamins|Antidotes|Protective Agents,
Colestipol,Anion Exchange Resins|Antimetabolites|Ion Exchange Resins|Hypolipidemic Agents|Lipid Regulating Agents,
injectable,,
Lung,,
plevitrexed,Antineoplastic|Antineoplastic Agents,
MUC1,,
Cvac,,
Benadryl,Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Antihistamine,
Ranitidine,Anti-Ulcer Agents|Drug / Therapeutic Agent|Histamine H2 Antagonists|Human Data|Gastrointestinal Agents|Histamine Agents|Histamine Antagonists|Neurotransmitter Agents,
Ranitidine,Human Data|Histamine H2 Receptor Antagonists,
talabostat,,
PT-100,,
Tookad,,
Navelbine,Reproductive Effect,
CISPLATIN,Antineoplastic Agents|Cross-Linking Reagents|Drug / Therapeutic Agent|Human Data|Mutation Data|Radiation-Sensitizing Agents|Reproductive Effect|Tumor Data|Indicators and Reagents,
Zytiga,"Antineoplastic Agents|Cytochrome P-450 Enzyme Inhibitors|Enzyme Inhibitors|Hormone Antagonists|Steroid Synthesis Inhibitors|Hormones, Hormone Substitutes, and Hormone Antagonists|Metabolic Side Effects of Drugs and Substances",
Nanocrystal,,
Colloidal,,
mouthwash,,
Levofolinic,Antidotes|Protective Agents,
CG8123,,
picoplatin,Antineoplastic,
Gastric,,
pemetrexed/carboplatin,,
gemcitabine/cisplatin,,
colorectal,,
colony-stimulating,,
Pancreatic,,
utidelone,,
Nanoparticles,,
TQ-B3101,,
Nab-paclitaxel+carboplatin,,
Gemcitabine+carboplatin,,
Pemetrexed+carboplatin,,
Gemcitabine+cisplatin,,
Pemetrexed+cisplatin,,
AMN107-,Antineoplastic|Antineoplastic Agents,
NILOTINIB,Antineoplastic|Antineoplastic Agents,
SU11248,Protein Kinase Inhibitors|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Antineoplastic Agents|Growth Inhibitors|Growth Substances|Enzyme Inhibitors,
Lovaza,,
S-8184,,
Inhibitors,,
steroideal,,
anti-PDL1,,
FOLFOX-4+cetuximab,,
OLAPARIB,,
Etoposide-Carboplatin,,
Acyclovir,Antiviral Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Anti-Infective Agents,
suberoylanilide,,
Taxus,"Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Antineoplastic Agents|Selective Estrogen Receptor Modulators|Antineoplastic Agents, Hormonal|Bone Density Conservation Agents|Estrogen Antagonists|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists",
platinum,Tumor Data,
TK1258,,
estramustine,"Antineoplastic Agents, Alkylating|Antineoplastic Agents, Hormonal|Mutation Data|Alkylating Agents|Antineoplastic Agents|Noxae",
Cabrilizumab,,
Panitumumab+irinotecan,,
Imfinzi,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
Radiotherapy,,
oxalipaltin+S-1,,
oxalipaltin+capecitabine,,
ZACTIMA,Antineoplastic,
CAPEOX,Antineoplastic Agents,
Capecitabine/,,
Folfiri,Antineoplastic Agents,
Panitumumab+FOLFOX-4,,
Panitumumab+FOLFIRI,,
secoisolariciresinol,"Estrogens|Estrogens, Non-Steroidal|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Phytoestrogens",
LY900003,Drug / Therapeutic Agent|Antisense Oligonucleotide,
Concurrent,,
physician,,
pictilisib,,
Flutamide,"Androgen Antagonists|Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Hormone|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Antineoplastic Agents|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists",
PD0332991,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
Lurbinectedin,,
TMX-101,"Adjuvants, Immunologic|Interferon Inducers|Antineoplastic Agents|Immunologic Factors",
modifiedFOLFOX6,,
Multi-tracer,,
Fluciclovine,,
Tak-228,,
Tak-117,Enzyme Inhibitors,
Doxycline,,
Mangafodipir,,
PCI-27483,,
Neulasta®,,
Gemcitabine+erlotinib,,
Gemcitabine+erlotinib+capecitabine,,
Capecitabine+Irinotecan+Bevacizumab,,
PGG®,,
PF-06463922,Antineoplastic Agents,
platinum-based,,
abemaciclib,,
Supportive,,
Kidney,,
Gemox,,
RO4929097,,
Carboplatin-based,,
Anastrozole+Fulvestrant,,
cisplatin/carboplatin,,
Mesalazine,"Anti-Inflammatory Agents, Non-Steroidal|Drug / Therapeutic Agent|Human Data|Analgesics|Analgesics, Non-Narcotic|Anti-Inflammatory Agents|Antirheumatic Agents|Peripheral Nervous System Agents|Sensory System Agents",
Reolysin,Antineoplastic Agents,
SR96669,,
OGX-011,,
/mitoxantrone,,
/docetaxel,,
Cisplatin-5FU-Afatinib,,
vargatef®,,
Diflomotecan,,
BN80915,,
T00268C,,
PTK787/,,
AXITINIB,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
Cridanimod,Drug / Therapeutic Agent|Interferon Inducers|Immunologic Factors,
progestin,"Drug / Therapeutic Agent|Hormone|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Progestins",
Saccharomyces,,
cerevisiae-CEA,,
doxorubicine,"Antineoplastic Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antibiotics, Antineoplastic|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors",
BVZ+XELOX,,
BVZ+XELIRI,,
BVZ+FUIRI,,
BVZ+FUOX,,
LEE-011,Antineoplastic Agents,
GRN1005,,
18F-FLT,,
Tesetaxel,,
VELCADE,,
Anti-EGFR,,
Carboplatinum,Antineoplastic Agents|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Cross-Linking Reagents|Indicators and Reagents,
RHUMAB,,
dalteparin,Anticoagulants|Drug / Therapeutic Agent|Fibrinolytic Agents|Human Data|Mutation Data|Natural Product|Reproductive Effect|Cardiovascular Agents|Fibrin Modulating Agents|Hematologic Agents,
Trastuzumab+Docetaxel+NPLD,,
Trastuzumab+Docetaxel+NPLD+Bevacizumab,,
CPX-1,,
L-Leucovorin,Growth Substances|Micronutrients|Vitamin B Complex|Vitamins|Antidotes|Protective Agents,
Calmette-Guerrin,,
/gemcitabine,,
Disulfiram/Copper,,
Gluconate,,
Single-agent,,
Ocoxin-Viusid,,
oregovomab,"Antineoplastic Agents|Antineoplastic Agents, Immunological",
Albumin,,
Rebamipide,Drug / Therapeutic Agent|Reproductive Effect|Anti-Ulcer Agents|Antioxidants|Enzyme Inhibitors|Gastrointestinal Agents|Protective Agents,
Zometa,Bone Density Conservation Agents,
zometa,Bone Density Conservation Agents,
MT-102,,
Odanacatib,,
Aranesp®,,
GTX-006,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Tumor Data|Antineoplastic Agents|Bone Density Conservation Agents|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Selective Estrogen Receptor Modulators",
Acapodene,"Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Tumor Data|Antineoplastic Agents|Bone Density Conservation Agents|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Selective Estrogen Receptor Modulators",
AFLIBERCEPT,,
Lucanix,,
tucatinib,,
Anti-Bacterial,,
Anti-Fungal,,
Anti-Protozoal,,
tirapazamine,Antineoplastic Agents|Drug / Therapeutic Agent|Mutation Data|Radiation-Sensitizing Agents,
embolization,,
hormone-releasing,,
hormone,,
Antiandrogen,,
DD-MVAC,,
APD209,,
KD018,,
Mitomycin-C,"Antibiotics, Antineoplastic|Drug / Therapeutic Agent|Human Data|Mutation Data|Natural Product|Nucleic Acid Synthesis Inhibitors|Reproductive Effect|Tumor Data|Alkylating Agents|Antineoplastic Agents|Cross-Linking Reagents|Enzyme Inhibitors|Indicators and Reagents|Noxae|TSCA Flag S (Substance is Identified in a Final Significant New Use Rule)",
PF-06873600,,
Domatinostat,,
Acetylsalicylic,,
EKB-569,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
Randomization,,
CDP791,,
Fluorine,Skin / Eye Irritant,
Ara-G,,
Vopratelimab,,
Vinorebine,,
ET743,"Antineoplastic Agents|Alkylating Agents|Antineoplastic Agents, Alkylating|Noxae",
S-1+leucovorin,,
Pancreas,,
CRS-207,,
Lapatinib/nab-Paclitaxel,,
rhG-CSF,Drug / Therapeutic Agent|Human Data|Natural Product|Hematologic Agents,
rhG-CSF,Drug / Therapeutic Agent|Reproductive Effect,
poliglumex,,
Navarixin,,
Neoadjuvant,,
SGN-15,,
cBR96-doxorubicin,,
immunoconjugate,,
89Zr-Pembrolizumab,,
amurubicin,,
DLBS1425,,
SHR1210,,
Carboplatin/Cisplatin,,
Pentostatin,Drug / Therapeutic Agent|Enzyme Inhibitors|Human Data|Reproductive Effect|Antineoplastic Agents|Adenosine Deaminase Inhibitors,
KRN23,,
Embolization,,
Crofelemer,,
FLT3,,
Ligand,,
Granulocyte-colony,,
ctDNA,,
leflunomide,Drug / Therapeutic Agent|Enzyme Inhibitors|Immunosuppressive Agents|Antirheumatic Agents|Immunologic Factors,
Anamorelin,,
BP102,,
YPEG-rhG-CSF,,
s.c.,,
PEG-rhG-CSF,,
run-in,,
concurrent,,
chemoradiotherapy,,
chemoradiation,,
"d1,8",,
Saracatinib,Antineoplastic Agents|Enzyme Inhibitors,
Paclitaxel/Carboplatin/Gefitinib,,
Paclitaxel/Carboplatin,,
I-131-1095,,
dutasteride,"Enzyme Inhibitors|5-alpha Reductase Inhibitors|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Urological Agents|Steroid Synthesis Inhibitors",
Naproxen,"Anti-Inflammatory Agents, Non-Steroidal|Cyclooxygenase Inhibitors|Drug / Therapeutic Agent|Gout Suppressants|Human Data|Mutation Data|Reproductive Effect|Analgesics|Analgesics, Non-Narcotic|Anti-Inflammatory Agents|Antirheumatic Agents|Enzyme Inhibitors|Peripheral Nervous System Agents|Sensory System Agents",
Loratadine,"Anti-Allergic Agents|Antipruritics|Histamine H1 Antagonists|Dermatologic Agents|Histamine Agents|Histamine Antagonists|Histamine H1 Antagonists, Non-Sedating|Neurotransmitter Agents",
tozuleristide,,
28-Day,,
Within,,
re-induction,,
Maleate,,
Cisplatin-based,,
neoadjuvant,,
Masitinib,,
CP-751,,
Brilacidin,,
"SU-011,248",,
Sm-EDTMP,"Analgesics, Non-Narcotic|Analgesics|Central Nervous System Agents|Peripheral Nervous System Agents|Sensory System Agents",
levo-leucovorin,Antidotes|Protective Agents,
PPP001,,
perfusion,,
Aprepitant/Ramosetron/Dexamethasone,,
UFOX,,
Triptorelin,"Antineoplastic Agents, Hormonal|Luteolytic Agents|Antineoplastic Agents|Contraceptive Agents|Contraceptive Agents, Female|Reproductive Control Agents",
Pamoate,,
Pamorelin®,,
serum,,
corticosteroid,,
ACTH,"Human Data|Natural Product|Reproductive Effect|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists",
ACTH,,
Adriamycine,,
Oxycodone/Naloxone,,
INGN,,
Fentanyl,"Adjuvants, Anesthesia|Analgesics, Opioid|Anesthetics, Intravenous|Drug / Therapeutic Agent|Human Data|Narcotics|Analgesics|Anesthetics|Anesthetics, General|Central Nervous System Agents|Central Nervous System Depressants|Peripheral Nervous System Agents|Sensory System Agents",
Fluciclatide,,
Fluorouracile,"Antimetabolites|Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antineoplastic Agents|Immunologic Factors|Noxae",
preoperative,,
Mycobacterial,,
wall-DNA,,
Bisphosphonate,,
162-,,
Ferric,,
Carboxymaltose,,
CVM-1118,,
Vascular,,
Endothelial,,
VEGFR,,
Platelet-Derived,,
PDGFR,,
brigatinib,Antineoplastic Agents,
SCV-07,,
Recurrence,,
INIPARIB,Antineoplastic Agents|Enzyme Inhibitors|Poly(ADP-ribose) Polymerase Inhibitors,
J591,,
VB-111,,
Omiganan,Peptides|Antimicrobial,
CLS001,,
Topotecan/Docetaxel,,
Trivalent,,
Influenza,,
High-Dose,,
Genexol®-PM,,
Genexol®,,
FOLFOXIRI,,
Tegafur-,"Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Antimetabolites|Antineoplastic Agents|Noxae",
Gimeracil-Oteracil,,
potassium,,
Aminolaevulinic,,
no-DP,,
Probiotic,Anti-Bacterial Agents|Anti-Infective Agents,
Alclometasone,,
ISA101b,,
Lu177-PSMA-617,,
First-Line,,
Second-Line,,
inodiftagene,,
vixteplasmid,,
TPIV200,,
Losartan,Anti-Arrhythmia Agents|Antihypertensive Agents|Drug / Therapeutic Agent|Human Data|Angiotensin II Type 1 Receptor Blockers|Cardiovascular Agents|Angiotensin Receptor Antagonists,
GnRH,Drug / Therapeutic Agent|Hormone|Human Data|Mutation Data|Reproductive Effect|TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
Darolutamide,,
situ,,
AlloStim®,,
CG0070,,
Lipidem,,
QBKPN,,
NPC-06,,
Duavee,,
Erythropoietin,Mutation Data|Hematinics|Hematologic Agents,
ONO-7436,Substance P Antagonist|Antiemetic (in Chemotherapy-Induced Emesis)|Antiemetics|Autonomic Agents|Central Nervous System Agents|Gastrointestinal Agents|Peripheral Nervous System Agents|Neurokinin-1 Receptor Antagonists|Neurotransmitter Agents,
RC-1291,,
Panax,Drug / Therapeutic Agent|Reproductive Effect,
Herceptin+XELOX,,
TOMOX,,
Capecitabine/Cisplatin,,
EC145,,
Ilorasertib,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
SDREGN2810,,
SDREGN2810/ipi,,
HDREGN2810,,
CI-1040,,
Genexol-PM®,,
AUC2,,
GEFITINIB,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
perioperative,,
nab-paclitaxel/gemcitabine,,
siG12D-LODER,,
Gemcitabine+nab-Paclitaxel,,
LV5FU2,,
Cabazitaxel-XRP6258,,
5-week,,
RO5490258,,
PF-06747775,,
4-weekly,,
racemic,,
ICOS,,
octreotide,"Antineoplastic Agents, Hormonal|Gastrointestinal Agents|Antineoplastic Agents",
ATEZOLIZUMAB,Antineoplastic Agents,
PERTUZUMAB,"Monoclonal Antibody|HER-2-Targeting Antibody|Antineoplastic Agents|Antineoplastic Agents, Immunological",
Fluorescein,Contrast Media|Mutation Data|Coloring Agents|Fluorescent Dyes|Indicators and Reagents|Luminescent Agents|Diagnostic Uses of Chemicals,
Dinutuximab,Antineoplastic Agents,
lapatinib/herceptin,,
P53-SLP,,
AVI-014,,
versus,"Anti-Inflammatory Agents, Non-Steroidal|Drug / Therapeutic Agent|Analgesics|Analgesics, Non-Narcotic|Anti-Inflammatory Agents|Antirheumatic Agents|Peripheral Nervous System Agents|Sensory System Agents",
versus,,
PTC-Pz,,
Elsiglutide,,
Necitumumab-Gemcitabine-Cisplatin,,
HP802-247,,
Bacitracin,"Anti-Infective Agents, Local|Drug / Therapeutic Agent|Mutation Data|Anti-Bacterial Agents|Anti-Infective Agents",
1-day,,
Titration,,
3-day,,
Surufatinib,,
Zalypsis,,
EC-paclitaxel,,
G17DT-Irinotecan,,
